2026-06-04 12:11:36,415 | INFO     | scheduler.scheduler | Collecte terminée : {'collected': 252, 'duplicates': 0, 'invalid_source': 0, 'stored': 252}
2026-06-04 12:11:36,415 | INFO     | agent.database | [DB] Base de données initialisée.
2026-06-04 12:11:36,420 | INFO     | agent.ai_connector | [AI] 100 articles en attente d'analyse
2026-06-04 12:11:40,513 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:11:44,566 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:11:48,643 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:11:52,726 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:11:56,780 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:12:00,822 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:12:04,875 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:12:08,950 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:12:13,022 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:12:17,118 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:12:21,183 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:12:25,250 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:12:29,299 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:12:33,364 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:12:37,446 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:12:41,510 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:12:45,575 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:12:49,610 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:12:53,658 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:12:57,714 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:13:01,772 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:13:05,822 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:13:09,887 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:13:13,953 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:13:18,019 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:13:22,084 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:13:26,171 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:13:30,229 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:13:34,296 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:13:38,362 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:13:42,412 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:13:46,476 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:13:50,543 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:13:54,608 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:13:58,674 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:14:02,740 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:14:06,854 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:14:10,938 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:14:15,003 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:14:19,068 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:14:23,151 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:14:27,183 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:14:31,278 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:14:35,331 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:14:39,412 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:14:43,464 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:14:47,511 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-06-04 12:14:51,576 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
